Frames,Timestamp,fundamental_freq,pid,qid,voice_label
281,4.0133666106663295,209.22653967580186,40,13,yes
282,4.02340966591271,207.50392261951245,40,13,yes
283,4.03345272115909,203.26769091378665,40,13,yes
284,4.0434957764054715,,40,13,no
285,4.053538831651851,,40,13,no
286,4.063581886898232,,40,13,no
287,4.073624942144613,,40,13,no
288,4.083667997390993,156.60088648663458,40,13,yes
289,4.0937110526373734,164.1858554063552,40,13,yes
290,4.103754107883754,170.7909303873353,40,13,yes
291,4.113797163130135,182.05288717618345,40,13,yes
292,4.123840218376515,189.5343666814829,40,13,yes
293,4.133883273622896,191.61901902448926,40,13,yes
294,4.143926328869276,193.03097415683948,40,13,yes
295,4.153969384115657,194.07622420067625,40,13,yes
296,4.164012439362037,195.37929938785237,40,13,yes
297,4.174055494608417,193.80948496845795,40,13,yes
298,4.184098549854798,192.17314241383565,40,13,yes
299,4.194141605101178,190.07102601690866,40,13,yes
300,4.204184660347559,187.67794219082947,40,13,yes
301,4.214227715593939,185.92770880190594,40,13,yes
302,4.22427077084032,184.49133202801315,40,13,yes
303,4.234313826086701,183.59371200924934,40,13,yes
304,4.244356881333081,182.62558709128587,40,13,yes
305,4.254399936579461,181.17438082517782,40,13,yes
306,4.264442991825842,179.848142097293,40,13,yes
307,4.274486047072223,174.93034083673058,40,13,yes
308,4.2845291023186025,166.26932200328545,40,13,yes
309,4.294572157564984,166.01714399112933,40,13,yes
310,4.304615212811364,164.7858149109284,40,13,yes
311,4.3146582680577446,160.10544672677744,40,13,yes
312,4.324701323304125,,40,13,no
313,4.334744378550505,,40,13,no
314,4.344787433796886,,40,13,no
315,4.354830489043266,,40,13,no
316,4.364873544289647,,40,13,no
317,4.374916599536027,,40,13,no
318,4.384959654782408,,40,13,no
319,4.3950027100287885,,40,13,no
320,4.405045765275169,,40,13,no
321,4.415088820521549,,40,13,no
322,4.42513187576793,,40,13,no
323,4.435174931014311,,40,13,no
324,4.44521798626069,207.2012732516831,40,13,yes
325,4.455261041507072,197.04110362739263,40,13,yes
326,4.465304096753452,194.28444873818722,40,13,yes
327,4.4753471519998325,194.22332509704918,40,13,yes
328,4.485390207246213,192.68554055783707,40,13,yes
329,4.495433262492593,189.67417386639391,40,13,yes
330,4.505476317738974,188.43376862277714,40,13,yes
331,4.515519372985354,187.33466644804574,40,13,yes
332,4.525562428231735,190.18506691138037,40,13,yes
333,4.535605483478115,192.57270303231167,40,13,yes
334,4.545648538724496,192.19622900815816,40,13,yes
335,4.555691593970876,194.40760321273254,40,13,yes
336,4.565734649217257,196.36105522022012,40,13,yes
337,4.575777704463637,197.9105665201382,40,13,yes
338,4.585820759710018,198.50674920641737,40,13,yes
339,4.595863814956399,199.7545235297112,40,13,yes
340,4.605906870202778,201.13264765555584,40,13,yes
341,4.61594992544916,202.59069373175194,40,13,yes
342,4.62599298069554,203.96303834101036,40,13,yes
343,4.63603603594192,205.533631603131,40,13,yes
344,4.646079091188301,206.43820125314014,40,13,yes
345,4.656122146434681,207.14785415472846,40,13,yes
346,4.6661652016810615,206.29015680564157,40,13,yes
347,4.676208256927442,205.1887764060786,40,13,yes
348,4.686251312173823,203.7554124992718,40,13,yes
349,4.696294367420203,200.9374519974573,40,13,yes
350,4.706337422666584,199.84398603679986,40,13,yes
351,4.716380477912964,195.94710212576265,40,13,yes
352,4.726423533159345,193.78671686693244,40,13,yes
353,4.736466588405725,189.9583956089731,40,13,yes
354,4.7465096436521055,188.02092088535926,40,13,yes
355,4.756552698898487,186.10398586808103,40,13,yes
356,4.766595754144866,181.83132180796804,40,13,yes
357,4.7766388093912475,181.00613158197373,40,13,yes
358,4.786681864637628,180.45742777442626,40,13,yes
359,4.796724919884008,181.84151865560546,40,13,yes
360,4.806767975130389,180.33462402231152,40,13,yes
361,4.816811030376769,178.25876551450145,40,13,yes
362,4.826854085623149,175.0950558789642,40,13,yes
363,4.83689714086953,170.76377628044506,40,13,yes
364,4.846940196115911,166.82541665771126,40,13,yes
365,4.856983251362291,164.65799041488387,40,13,yes
366,4.867026306608672,162.89348024456197,40,13,yes
367,4.877069361855052,162.0802433414579,40,13,yes
368,4.887112417101433,161.5671787137897,40,13,yes
369,4.897155472347813,161.34702289929805,40,13,yes
370,4.907198527594193,161.14126637312492,40,13,yes
371,4.917241582840575,160.67507007536074,40,13,yes
372,4.927284638086954,159.63385495487648,40,13,yes
373,4.937327693333335,158.66587725170154,40,13,yes
374,4.947370748579716,158.2538998380672,40,13,yes
375,4.957413803826096,157.90345015628037,40,13,yes
376,4.967456859072477,157.68300606659335,40,13,yes
377,4.977499914318857,157.34391467422552,40,13,yes
378,4.987542969565237,156.79878047874004,40,13,yes
379,4.997586024811618,154.5806660762051,40,13,yes
380,5.007629080057999,152.08315370277327,40,13,yes
381,5.0176721353043785,140.56155627773362,40,13,yes
382,5.02771519055076,,40,13,no
383,5.03775824579714,,40,13,no
384,5.0478013010435205,,40,13,no
385,5.057844356289901,,40,13,no
386,5.067887411536281,,40,13,no
387,5.077930466782663,,40,13,no
388,5.087973522029042,,40,13,no
389,5.098016577275423,,40,13,no
390,5.108059632521804,,40,13,no
391,5.118102687768184,,40,13,no
