frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
97,0,4.0,0.98,1,-16.3,18.2,248.1,-0.145,-0.036000000000000004,0.127
98,0,4.042,0.98,1,-17.9,18.2,249.7,-0.146,-0.038,0.131
99,0,4.083,0.98,1,-19.4,18.5,249.5,-0.156,-0.037000000000000005,0.134
100,0,4.125,0.98,1,-20.3,19.0,248.0,-0.166,-0.045,0.129
101,0,4.167,0.98,1,-21.5,20.5,248.1,-0.146,-0.037000000000000005,0.128
102,0,4.208,0.98,1,-22.7,21.6,247.9,-0.142,-0.038,0.126
103,0,4.25,0.98,1,-24.0,22.2,247.6,-0.14400000000000002,-0.032,0.121
104,0,4.292,0.98,1,-25.2,22.3,248.0,-0.14800000000000002,-0.034,0.115
105,0,4.333,0.98,1,-26.5,22.3,248.2,-0.14300000000000002,-0.04,0.11199999999999999
106,0,4.375,0.98,1,-27.9,22.5,247.7,-0.132,-0.034,0.111
107,0,4.417,0.98,1,-28.9,22.5,246.5,-0.136,-0.032,0.111
108,0,4.458,0.98,1,-29.2,22.5,244.1,-0.153,-0.039,0.109
109,0,4.5,0.98,1,-29.3,22.6,243.0,-0.18,-0.045,0.109
110,0,4.542,0.98,1,-29.1,23.3,242.9,-0.17300000000000001,-0.044000000000000004,0.109
111,0,4.583,0.98,1,-28.8,24.1,242.8,-0.156,-0.04,0.111
112,0,4.625,0.98,1,-28.3,25.0,243.7,-0.126,-0.036000000000000004,0.10800000000000001
113,0,4.667,0.98,1,-27.8,25.2,245.1,-0.128,-0.032,0.105
114,0,4.708,0.98,1,-27.4,25.2,246.5,-0.128,-0.028999999999999998,0.10300000000000001
115,0,4.75,0.98,1,-27.0,25.2,248.5,-0.134,-0.03,0.10800000000000001
116,0,4.792,0.98,1,-26.0,25.1,249.1,-0.152,-0.037000000000000005,0.10800000000000001
117,0,4.833,0.98,1,-24.8,25.5,250.0,-0.151,-0.044000000000000004,0.10800000000000001
118,0,4.875,0.98,1,-23.9,26.8,251.1,-0.154,-0.045,0.111
119,0,4.917,0.98,1,-22.8,27.8,251.5,-0.142,-0.044000000000000004,0.113
120,0,4.958,0.98,1,-22.0,28.2,252.7,-0.135,-0.037000000000000005,0.11199999999999999
121,0,5.0,0.98,1,-21.2,28.0,253.2,-0.132,-0.034,0.109
122,0,5.042,0.98,1,-20.6,28.1,254.3,-0.139,-0.039,0.10800000000000001
123,0,5.083,0.98,1,-20.2,28.5,254.9,-0.138,-0.028999999999999998,0.10800000000000001
124,0,5.125,0.98,1,-19.4,29.1,254.6,-0.13,-0.036000000000000004,0.109
125,0,5.167000000000001,0.98,1,-18.8,29.6,254.7,-0.134,-0.037000000000000005,0.11
126,0,5.207999999999999,0.98,1,-18.4,29.9,254.6,-0.132,-0.036000000000000004,0.11
127,0,5.25,0.98,1,-17.9,30.0,254.6,-0.13,-0.035,0.109
128,0,5.292000000000001,0.98,1,-17.5,29.9,254.3,-0.133,-0.033,0.109
129,0,5.332999999999999,0.98,1,-17.7,29.8,254.0,-0.128,-0.027999999999999997,0.11199999999999999
130,0,5.375,0.98,1,-17.8,30.1,254.2,-0.124,-0.026000000000000002,0.111
131,0,5.417000000000001,0.98,1,-17.6,30.8,254.7,-0.121,-0.024,0.109
132,0,5.457999999999999,0.98,1,-17.4,31.0,254.7,-0.124,-0.022000000000000002,0.11
133,0,5.5,0.98,1,-16.9,30.8,254.8,-0.127,-0.022000000000000002,0.107
134,0,5.542000000000001,0.98,1,-16.7,30.6,254.7,-0.133,-0.022000000000000002,0.107
135,0,5.582999999999999,0.98,1,-16.5,30.5,253.9,-0.141,-0.022000000000000002,0.11
136,0,5.625,0.98,1,-16.4,30.4,253.6,-0.14400000000000002,-0.02,0.114
137,0,5.667000000000001,0.98,1,-16.3,30.6,254.0,-0.13699999999999998,-0.022000000000000002,0.115
138,0,5.707999999999999,0.98,1,-16.4,30.4,254.0,-0.141,-0.02,0.11599999999999999
139,0,5.75,0.98,1,-16.9,30.3,257.1,-0.147,-0.012,0.114
140,0,5.792000000000001,0.98,1,-17.5,29.9,258.8,-0.185,-0.024,0.111
141,0,5.832999999999999,0.98,1,-18.0,29.6,260.5,-0.22,-0.034,0.11
142,0,5.875,0.98,1,-18.0,28.9,259.8,-0.225,-0.037000000000000005,0.114
143,0,5.917000000000001,0.98,1,-18.0,28.2,258.2,-0.19399999999999998,-0.027999999999999997,0.11800000000000001
144,0,5.957999999999999,0.98,1,-18.2,27.8,257.3,-0.184,-0.026000000000000002,0.12
145,0,6.0,0.98,1,-18.1,26.8,256.3,-0.18100000000000002,-0.026000000000000002,0.12
146,0,6.042000000000001,0.98,1,-17.9,25.8,256.2,-0.168,-0.024,0.11699999999999999
147,0,6.082999999999999,0.98,1,-17.9,25.3,256.0,-0.15,-0.027999999999999997,0.11800000000000001
148,0,6.125,0.98,1,-17.7,25.0,255.0,-0.129,-0.031,0.11900000000000001
149,0,6.167000000000001,0.98,1,-17.7,24.5,253.6,-0.142,-0.037000000000000005,0.12
150,0,6.207999999999999,0.98,1,-17.8,24.2,253.2,-0.151,-0.04,0.121
151,0,6.25,0.98,1,-18.1,24.2,252.3,-0.153,-0.042,0.121
152,0,6.292000000000001,0.98,1,-18.2,24.6,253.0,-0.146,-0.044000000000000004,0.12
153,0,6.332999999999999,0.98,1,-18.2,24.7,251.9,-0.146,-0.043,0.11800000000000001
154,0,6.375,0.98,1,-18.5,24.5,251.5,-0.152,-0.040999999999999995,0.11900000000000001
155,0,6.417000000000001,0.98,1,-18.6,24.0,249.3,-0.161,-0.038,0.12
156,0,6.457999999999999,0.98,1,-18.7,24.3,249.2,-0.163,-0.032,0.12
157,0,6.5,0.98,1,-18.8,24.8,249.0,-0.159,-0.031,0.12
158,0,6.542000000000001,0.98,1,-18.8,25.4,249.3,-0.163,-0.036000000000000004,0.12
159,0,6.582999999999999,0.98,1,-19.0,25.8,250.0,-0.156,-0.034,0.121
160,0,6.625,0.98,1,-18.9,26.3,249.9,-0.147,-0.038,0.124
161,0,6.667000000000001,0.98,1,-18.8,26.6,249.4,-0.14800000000000002,-0.040999999999999995,0.124
162,0,6.707999999999999,0.98,1,-18.8,27.1,250.1,-0.142,-0.043,0.126
163,0,6.75,0.98,1,-18.8,27.3,250.4,-0.146,-0.044000000000000004,0.124
164,0,6.792000000000001,0.98,1,-18.8,27.4,250.4,-0.146,-0.048,0.127
